Trade 1 ID,Trade 2 ID,Symbol,Category
1742642088782724492,1742642088807273520,AUDJPY,Copy Trade
46133011,45881664,AUDUSD,Partial Copy
44040014,1743933942385033050,BTCUSD,Copy Trade
44040014,46690299,BTCUSD,Copy Trade
1743933942341698606,1743933942354880858,BTCUSD,Reverse Trade
44484970,45120165,BTCUSD,Partial Copy
44484970,46176404,BTCUSD,Copy Trade
44484970,46494698,BTCUSD,Partial Copy
45120165,46176404,BTCUSD,Partial Copy
45120165,46494698,BTCUSD,Copy Trade
1743933942385033050,46690299,BTCUSD,Copy Trade
1743933942405696151,1742642088776877153,BTCUSD,Copy Trade
46176404,46494698,BTCUSD,Partial Copy
44249532,46594368,DJI30,Reverse Trade
1743933942362217513,1742642088778120179,DJI30,Copy Trade
1743933942362217513,1743933942465815176,DJI30,Partial Copy
1743933942365686878,44920451,DJI30,Copy Trade
1743933942365686878,45016444,DJI30,Reverse Trade
1743933942365686878,1743933942378426594,DJI30,Copy Trade
1743933942365686878,45344140,DJI30,Reverse Trade
1743933942365686878,47304731,DJI30,Partial Copy
1743933942365686878,1743933942465505495,DJI30,Copy Trade
44868792,1743933942380073019,DJI30,Copy Trade
44868792,1742642088773436207,DJI30,Copy Trade
44868792,46712482,DJI30,Partial Copy
44868792,47520788,DJI30,Copy Trade
44885846,1742642088759461002,DJI30,Partial Copy
44885846,46719108,DJI30,Partial Copy
44920451,45016444,DJI30,Reverse Trade
44920451,1743933942378426594,DJI30,Copy Trade
44920451,45344140,DJI30,Reverse Trade
44920451,47304731,DJI30,Partial Copy
44920451,1743933942465505495,DJI30,Copy Trade
45016444,1743933942378426594,DJI30,Reverse Trade
45016444,45344140,DJI30,Copy Trade
45016444,47304731,DJI30,Partial Copy
45016444,1743933942465505495,DJI30,Reverse Trade
45068996,1743933942371619279,DJI30,Partial Copy
45068996,45122335,DJI30,Copy Trade
1743933942371619279,45122335,DJI30,Partial Copy
1743933942371619279,46719108,DJI30,Partial Copy
1743933942378426594,45344140,DJI30,Reverse Trade
1743933942378426594,47304731,DJI30,Partial Copy
1743933942378426594,1743933942465505495,DJI30,Copy Trade
1743933942380073019,1742642088773436207,DJI30,Copy Trade
1743933942380073019,46712482,DJI30,Partial Copy
1743933942380073019,47520788,DJI30,Copy Trade
45344140,47304731,DJI30,Partial Copy
45344140,1743933942465505495,DJI30,Reverse Trade
45434112,1743933942407803384,DJI30,Copy Trade
1742642088773436207,46712482,DJI30,Partial Copy
1742642088773436207,47520788,DJI30,Copy Trade
1742642088778120179,1743933942465815176,DJI30,Partial Copy
46523840,46712482,DJI30,Partial Copy
46712482,47520788,DJI30,Partial Copy
47304731,1743933942465505495,DJI30,Partial Copy
1742642088705705779,1743933942391606552,ETHUSD,Reverse Trade
1742642088705705779,1743933942393902466,ETHUSD,Partial Copy
1742642088705705779,46209203,ETHUSD,Copy Trade
1742642088705705779,46536354,ETHUSD,Reverse Trade
1742642088705705779,1742642088792842692,ETHUSD,Reverse Trade
1743933942391606552,1743933942393902466,ETHUSD,Partial Copy
1743933942391606552,46209203,ETHUSD,Reverse Trade
1743933942391606552,46536354,ETHUSD,Copy Trade
1743933942391606552,1742642088792842692,ETHUSD,Copy Trade
1743933942393902466,46209203,ETHUSD,Partial Copy
1743933942393902466,46536354,ETHUSD,Partial Copy
1743933942393902466,1742642088792842692,ETHUSD,Partial Copy
46209203,46536354,ETHUSD,Reverse Trade
46209203,1742642088792842692,ETHUSD,Reverse Trade
46536354,1742642088792842692,ETHUSD,Copy Trade
38192231,45695693,EURAUD,Partial Copy
1742642088717962360,45671530,EURGBP,Partial Copy
44698429,45523140,EURJPY,Reverse Trade
44698429,45623131,EURJPY,Reverse Trade
44698429,45844380,EURJPY,Reverse Trade
44717391,45458708,EURJPY,Partial Copy
44724224,1743933942373527147,EURJPY,Partial Copy
44724224,45939780,EURJPY,Copy Trade
1743933942373527147,45939780,EURJPY,Partial Copy
45523140,45623131,EURJPY,Copy Trade
45523140,45844380,EURJPY,Copy Trade
45623131,45844380,EURJPY,Copy Trade
42732016,1742642088710925532,EURUSD,Partial Copy
42732016,1743933942355752687,EURUSD,Partial Copy
42732016,44385636,EURUSD,Partial Copy
42732016,44454238,EURUSD,Partial Copy
42732016,44400945,EURUSD,Partial Copy
42732016,1743933942368448941,EURUSD,Partial Copy
42732016,44797294,EURUSD,Partial Copy
42732016,38185951,EURUSD,Partial Copy
42732016,38188624,EURUSD,Partial Copy
42732016,45479996,EURUSD,Partial Copy
42732016,45697869,EURUSD,Partial Copy
42732016,1743933942402159302,EURUSD,Partial Copy
42732016,45823705,EURUSD,Partial Copy
42732016,45908669,EURUSD,Partial Copy
42732016,46465026,EURUSD,Partial Copy
42732016,46627259,EURUSD,Partial Copy
42732016,46898488,EURUSD,Partial Copy
42732016,47116736,EURUSD,Partial Copy
42732016,47322542,EURUSD,Partial Copy
1743933942340491541,44098285,EURUSD,Partial Copy
1743933942340491541,44391017,EURUSD,Reverse Trade
1743933942340491541,44546230,EURUSD,Partial Copy
1743933942340491541,44660724,EURUSD,Partial Copy
1743933942340491541,44681840,EURUSD,Partial Copy
1743933942340491541,45763708,EURUSD,Partial Copy
1743933942340491541,46442535,EURUSD,Copy Trade
1743933942340491541,46879071,EURUSD,Partial Copy
1743933942340491541,47034530,EURUSD,Partial Copy
1743933942340491541,47133490,EURUSD,Partial Copy
1743933942340491541,47269018,EURUSD,Partial Copy
1743933942340491541,47577213,EURUSD,Partial Copy
38176104,44274193,EURUSD,Reverse Trade
38176104,44610856,EURUSD,Reverse Trade
38176104,44630767,EURUSD,Copy Trade
38176104,44686094,EURUSD,Reverse Trade
38176104,1743933942364315175,EURUSD,Reverse Trade
