symbol,trade1_id,account1,trade2_id,account2,open_diff_sec,close_diff_sec
XAUUSD,44191178,10426571,44193855,10454075,193.0,274.0
XAUUSD,44376792,10416837,44375927,10441205,50.0,75.0
XAUUSD,44711999,10497245,44704175,10497263,300.0,115.0
XAUUSD,44774635,10464631,44779889,10303305,150.0,67.0
NDX100,44866908,10241435,1743933942365289160,1772598,242.233001,244.892
NDX100,44866908,10241435,44869156,10362004,98.0,186.0
XAUUSD,46247876,10490160,46244128,10492122,90.0,34.0
NDX100,46614604,10117013,1742642088789442999,100767963,6.441999,48.992001
XAUUSD,38216717,5794223,47023418,10486887,152.014,287.388
XAUUSD,38216717,5794223,1743933942449802965,1703042,258.757,171.456001
XAUUSD,44091754,10403126,44094696,10483092,125.0,58.0
XAUUSD,44091754,10403126,44088881,10436645,150.0,98.0
XAUUSD,44704831,10472298,44706329,10471740,3.0,180.0
XAUUSD,44932092,10346312,44922224,10480296,167.0,193.0
XAUUSD,1743933942369204678,1625372,45013268,10451773,33.97,111.25
XAUUSD,1743933942369204678,1625372,45015090,10468815,16.03,265.75
XAUUSD,1743933942369204678,1625372,45023429,10429395,268.03,222.75
XAUUSD,1743933942369204678,1625372,45021784,10294645,209.03,166.75
XAUUSD,1742642088736103944,100733837,1743933942373963789,1580699,263.744999,6.531001
XAUUSD,45343001,10437343,1742642088742742097,100746414,180.898,233.95
XAUUSD,1743933942394527123,1642035,1743933942394527680,1768295,94.498,0.9410000000000001
GER40,45739709,10446580,1743933942402916517,1575467,45.459,88.508
NDX100,1742642088776609733,100706514,1742642088776576837,100764574,282.030999,39.750999
XAUUSD,1742642088792932343,100769081,46669080,10520594,95.967999,91.213
XAUUSD,1743933942444704688,1766929,46830118,10471341,38.083,3.001
XAUUSD,1743933942444704688,1766929,46826973,10434876,202.917,108.999
XAUUSD,1742642088806736067,100771681,46973760,10158092,88.552999,24.711
XAUUSD,1742642088806736067,100771681,38216210,5786620,41.124001,39.808
XAUUSD,1742642088819456302,100722716,47432218,10388208,234.599,214.470999
XAUUSD,1742642088819456302,100722716,1743933942462905116,1525120,117.75,285.822999
XAUUSD,1742642088819456302,100722716,47430813,10506908,176.599,62.529001
